"iso","cc","unesco_caner","est_female","est_male"
4,"Afghanistan",56.98028,53.0088405620933,30.4786807744803
8,"Albania",1.85885,10.5131426012993,2.83125491820703
12,"Algeria",18.59216,23.698880148877,11.0593136205326
24,"Angola",NA,NA,NA
28,"Antigua and Barbuda",NA,0.579999999999998,1.59999999999999
32,"Argentina",0.8970534,1.91206369320748,2.15335043992805
51,"Armenia",NA,0.322839999999999,0.194500000000005
533,"Aruba",NA,2.18732,2.19987
36,"Australia",NA,NA,NA
40,"Austria",NA,0.200000000000003,0.201437399192005
31,"Azerbaijan",NA,0.280439999999999,0.136523333333334
44,"Bahamas",3.073062,2.37128229006377,3.81041054783844
48,"Bahrain",2.688413,7.65739227734427,4.61921942943298
50,"Bangladesh",28.8247,60.0727963646315,39.7518052793145
52,"Barbados",NA,NA,NA
112,"Belarus",0.24344,0.220256157570143,0.204533247481881
56,"Belgium",NA,0.400000000000006,0.40287479838401
84,"Belize",2.974371,2.60681560500066,3.33527849107477
204,"Benin",57.6376,57.3894121871636,22.6327723712665
64,"Bhutan",NA,42.91638,24.98015
68,"Bolivia (Plurinational State of)",7.54492,9.83732440316199,3.26389078358378
70,"Bosnia and Herzegovina",NA,2.00000000000003,1.00718699596002
72,"Botswana",12.10482,8.96928607395813,15.25707235132
76,"Brazil",7.210085,8.74412030782402,10.5518719058525
96,"Brunei Darussalam",2.78589,5.16019146597817,2.4928555065783
100,"Bulgaria",0.6791672,0.858279547487352,0.481534141828051
854,"Burkina Faso",58.77555,69.4351207628972,49.8612495970574
108,"Burundi",31.62467,36.2556582188602,33.3313783100004
116,"Cambodia",19.47351,27.3845456816219,17.0209047056786
120,"Cameroon",22.92896,11.858605116877,7.73171317554495
124,"Canada",NA,NA,NA
132,"Cape Verde",14.02486,18.6768076728281,8.75209229523324
140,"Central African Republic",62.60418,39.3186093662678,23.6097608277949
148,"Chad",75.84273,37.7247656327583,26.7032047140647
830,"Channel Islands",NA,NA,NA
152,"Chile",3.361795,2.22368280249208,2.27065437556811
156,"China",3.15911,11.4637867085015,3.15019919795247
170,"Colombia",5.336197,4.16601832257915,4.7937426124976
174,"Comoros",41.18298,37.8593598906701,26.8069364476232
178,"Congo",19.70124,17.3908436535741,7.94329087799848
188,"Costa Rica",2.13621,2.23397056080099,2.57149126461625
384,"Cote d'Ivoire",52.83465,37.0197510730894,29.2810251641401
191,"Croatia",0.5174134,0.668755566823957,0.352146368001211
192,"Cuba",1.432397,1.51599674157954,1.34744901125592
531,"Curaçao",NA,NA,NA
196,"Cyprus",0.8168306,1.08032759345829,0.549939684259467
203,"Czech Republic",NA,0.200000000000003,0.201437399192005
408,"Democratic People's Republic of Korea",NA,NA,NA
180,"Democratic Republic of the Congo",NA,33.50002,11.47531
208,"Denmark",NA,0.200000000000003,0.201437399192005
262,"Djibouti",19.2408,25.1791479827302,12.9238992431614
214,"Dominican Republic",7.115165,10.6777875491425,11.5753908916765
218,"Ecuador",6.12144,5.54590962501398,3.60933332891802
818,"Egypt",28.83175,40.6851012263607,24.8593193059453
222,"El Salvador",11.80189,15.4018328438493,12.0470871718465
226,"Equatorial Guinea",6.105211,9.57117666113663,2.51233690843245
232,"Eritrea",23.42948,38.7081038411215,20.2250241311621
233,"Estonia",NA,0.200000000000003,0.201437399192005
231,"Ethiopia",48.22882,41.8153165612262,43.5808171433151
242,"Fiji",0.91789,3.82159358897485,2.19672066413156
246,"Finland",NA,0.200000000000003,0.201437399192005
250,"France",NA,0.400000000000006,0.40287479838401
254,"French Guiana",NA,NA,NA
258,"French Polynesia",NA,NA,NA
266,"Gabon",NA,16.57603,14.14765
270,"Gambia",49.22203,50.2425529786048,35.6799596818559
268,"Georgia",NA,0.705250000000007,0.562479999999994
276,"Germany",NA,0.200000000000003,0.201437399192005
288,"Ghana",20.96036,17.8926210034889,9.02120828260331
300,"Greece",0.8965684,1.10883659398206,0.673142171056105
308,"Grenada",NA,NA,NA
312,"Guadeloupe",NA,NA,NA
316,"Guam",NA,NA,NA
320,"Guatemala",21.35015,27.7131686931635,14.9255037961766
324,"Guinea",NA,NA,NA
624,"Guinea-Bissau",41.36701,61.6841168932314,20.235428304268
328,"Guyana",0.508515,0.56238802769356,0.451956316438548
332,"Haiti",38.30865,36.5400116448217,35.0847570468478
340,"Honduras",11.96682,16.4407055967271,18.7224093693347
344,"Hong Kong Special Administrative Region of China",2.832103,3.59222961804111,2.16411356486704
348,"Hungary",0.4039607,0.475452740296885,0.324131981597061
352,"Iceland",NA,0.400000000000006,0.40287479838401
356,"India",25.62701,39.5518527071238,22.6003676006921
360,"Indonesia",4.58218,8.04443696312978,3.51179874758066
364,"Iran (Islamic Republic of)",14.45575,15.5182180971792,7.14821040658316
368,"Iraq",49.85948,34.4359631715523,22.7878048467484
372,"Ireland",NA,0.400000000000006,0.40287479838401
376,"Israel",1.579726,2.27452320222266,0.868720172006558
380,"Italy",0.84424,0.662288731290906,0.43348997454598
388,"Jamaica",7.991348,4.73414672439713,11.2976047210937
392,"Japan",NA,NA,NA
400,"Jordan",1.77289,5.34093699223097,1.60384013531892
398,"Kazakhstan",NA,NA,NA
404,"Kenya",18.46503,9.10822050836307,4.64796471073382
296,"Kiribati",NA,NA,NA
414,"Kuwait",4.074043,11.7266787731747,10.8126715180503
417,"Kyrgyzstan",NA,0.500280000000004,0.322990000000004
418,"Lao People's Democratic Republic",NA,20.60896,10.03872
