"cc","iso","year","prop_19","prop_20_64","prop_65","adj_factor","qamys_piaac","wic_mys","highLS","illiterate_prop","qamys_dhs_full","qamys_dhs_part","qamys","year_1970","year_1975","year_1980","year_1985","year_1990","year_1995","year_2000","year_2005","year_2010","year_2015","fit3","lwr3","upr3","qamys_pred","plot"
"Afghanistan",4,1970,0.541573761058764,0.432199884916924,0.0262263540243113,NA,NA,0.56,1.8,87.108177,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0.114382601268954,0.102518956246946,0.127619124813733,0.114382601268954,3
"Afghanistan",4,1975,0.553472961591635,0.42117306806083,0.0253539703475345,NA,NA,0.74,2.59999999999999,81.842316,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0.16465328255587,0.149283963608883,0.181604927957647,0.16465328255587,3
"Afghanistan",4,1980,0.563348125524468,0.412535814994292,0.0241160594812401,NA,NA,0.96,3.8,80.280991,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0.22331691860024,0.204770078288972,0.243543619994757,0.22331691860024,3
"Afghanistan",4,1985,0.578981561423455,0.399100724036826,0.0219177145397194,NA,NA,1.2,5.10000000000001,75.886818,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0.296192044976611,0.273971049062098,0.320215321318649,0.296192044976611,3
"Afghanistan",4,1990,0.588533480361096,0.389552251088307,0.021914268550597,NA,NA,1.39,6.3,70.925781,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0.368801644387815,0.342872406007578,0.396691744567367,0.368801644387815,3
"Afghanistan",4,1995,0.588272126363792,0.388725788444612,0.0230020851915954,NA,NA,1.55,6.90000000000001,65.703362,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0.424135720050644,0.401823454825683,0.447686930323461,0.424135720050644,3
"Afghanistan",4,2000,0.595026491198086,0.382820432907396,0.0221530758945178,NA,NA,1.72,7.59999999999999,60.293983,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0.510249932708334,0.485103644341267,0.53669972770953,0.510249932708334,3
"Afghanistan",4,2005,0.588478332126078,0.39003387059571,0.0214877972782123,NA,NA,2.03,8.89999999999999,54.29303,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0.667907546814853,0.63885060203204,0.698286093295192,0.667907546814853,3
"Afghanistan",4,2010,0.588485923173812,0.38913048067383,0.0223835961523576,NA,NA,2.51,11.2,68.258881,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0.764731884665808,0.735856439792078,0.794740419190681,0.764731884665808,3
"Afghanistan",4,2015,0.562305129755427,0.4127662979692,0.0249285722753731,NA,NA,3.17,13.9,56.980282,1.05063895499,0.78085493843,0.840511163992,0,0,0,0,0,0,0,0,0,1,1.15035156026301,1.11601562647617,1.18574389175705,0.840511163992,3
"Albania",8,1970,0.507579280200874,0.440481726029945,0.0519389937691807,NA,NA,5.52,17.1,45.361618,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,3.14287290301382,2.98847226998553,3.30525070742797,3.14287290301382,2
"Albania",8,1975,0.496910380292788,0.4511259486584,0.0519636710488118,NA,NA,6.63,22.8,37.975117,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,4.13048790197332,3.93396316977995,4.33683020710697,4.13048790197332,2
"Albania",8,1980,0.47187826346412,0.47512307921826,0.052998657317619,NA,NA,7.67,28.9,31.633141,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,5.12410910795577,4.88656955750358,5.37319562143898,5.12410910795577,2
"Albania",8,1985,0.443069974383174,0.502932452474046,0.0539975731427801,NA,NA,8.52,34.8,26.108137,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,5.97025763787195,5.69793414512811,6.25559638892017,5.97025763787195,2
"Albania",8,1990,0.424409568794758,0.520554624409569,0.0550358067956727,NA,NA,9.15,39.6,21.345938,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,6.7880088432652,6.49167877927813,7.09786568665836,6.7880088432652,2
"Albania",8,1995,0.421926803360479,0.513631827984678,0.0644413686548428,NA,NA,9.53,42.4,17.43873,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,7.09978648457882,6.94279953730518,7.26032313849196,7.09978648457882,2
"Albania",8,2000,0.394939141575913,0.534304932735426,0.0707559256886611,NA,NA,9.92,45.3,1.2870178,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,8.78206026453217,8.60688118330475,8.96080483131077,8.78206026453217,2
"Albania",8,2005,0.368698976286121,0.545613580406894,0.0856874433069846,NA,NA,10.19,47.6,4.0613632,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,8.87772898373875,8.7130326569662,9.04553844931386,8.87772898373875,2
"Albania",8,2010,0.322633297062024,0.569266866158868,0.108099836779108,NA,NA,10.37,49.3,2.9538651,10.31314093742,9.55843963126,8.250512749936,0,0,0,0,0,0,0,0,1,0,9.20113343791045,9.0313881674124,9.37406907696783,8.250512749936,2
"Albania",8,2015,0.265795505079875,0.60883248383676,0.125372011083365,NA,NA,10.57,51.7,1.8588486,10.55443178524,10.27772525164,8.443545428192,0,0,0,0,0,0,0,0,0,1,9.56597180864734,9.39215638452907,9.7430039383255,8.443545428192,2
"Algeria",12,1970,0.57852233676976,0.386323024054983,0.0351546391752577,NA,NA,1.86,2.90000000000001,73.225815,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0.594470956191882,0.559061286235983,0.632123394082631,0.594470956191882,2
"Algeria",12,1975,0.577035405644794,0.387002369951883,0.0359622244033227,NA,NA,2.73,5.10000000000001,66.041801,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0.997510804810389,0.94459385419266,1.05339220798119,0.997510804810389,2
"Algeria",12,1980,0.573785920766172,0.391778753419486,0.0344353258143419,NA,NA,3.7,8.3,58.09679,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,1.526397385167,1.44991285593661,1.60691655909182,1.526397385167,2
"Algeria",12,1985,0.562968904408865,0.403134818465029,0.0338962771261062,NA,NA,4.79,12.3,50.369122,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,2.19589194411474,2.08624988076295,2.31129620410792,2.19589194411474,2
"Algeria",12,1990,0.544866550377425,0.421346536793196,0.033786912829379,NA,NA,5.87,17.1,42.782051,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,3.0300819908605,2.88250357946928,3.18521612140637,3.0300819908605,2
"Algeria",12,1995,0.514010026189875,0.449469456101687,0.0365205177084378,NA,NA,6.89,22.2,35.962315,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,3.80496948088872,3.69196916933305,3.92142839944407,3.80496948088872,2
"Algeria",12,2000,0.463846380789902,0.492803909747431,0.0433497094626663,NA,NA,7.65,27.5,30.126503,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,4.63686538611448,4.50922798281383,4.76811567099562,4.63686538611448,2
"Algeria",12,2005,0.407776876633324,0.542831395872758,0.0493917274939173,NA,NA,8.44,34.2,26.107635,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,5.52086954284713,5.37636584831456,5.66925714675691,5.52086954284713,2
"Algeria",12,2010,0.372892710230702,0.572446476916007,0.0546608128532911,NA,NA,9.13,40.8,21.009813,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,6.47895967470448,6.3286056429456,6.63288579424093,6.47895967470448,2
"Algeria",12,2015,0.362151859050724,0.579151043952599,0.0586970969966769,NA,NA,9.7,47.3,18.592163,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,7.24022787660416,7.08249794457708,7.4014705144099,7.24022787660416,2
"Angola",24,1970,0.58054255742117,0.393981099183411,0.0254763433954185,NA,NA,0.66,0.599999999999994,71.674934,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0.163106684677694,0.146770284208812,0.181261423114089,0.163106684677694,3
"Angola",24,1975,0.58458938830686,0.389888475836431,0.0255221358567083,NA,NA,0.82,0.700000000000003,66.826813,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0.216113415529527,0.196158672684695,0.238098105643851,0.216113415529527,3
"Angola",24,1980,0.591252938575053,0.383434583246049,0.0253124781788981,NA,NA,1.05,1.00000000000001,56.009636,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0.315005224747844,0.288104315001002,0.344417929381219,0.315005224747844,3
"Angola",24,1985,0.596487449582958,0.378656459255198,0.0248560911618436,NA,NA,1.32,1.40000000000002,52.062386,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0.418326302789943,0.386627270465009,0.452624294699721,0.418326302789943,3
"Angola",24,1990,0.601299023592938,0.374466227953824,0.0242347484532377,NA,NA,1.63,2.10000000000001,42.994389,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0.587051634276378,0.545338972616089,0.631954873229243,0.587051634276378,3
"Angola",24,1995,0.601809987908988,0.374586890411461,0.0236031216795515,NA,NA,1.89,2.8,42.035908,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0.680456856640312,0.645225226667104,0.717612260978295,0.680456856640312,3
"Angola",24,2000,0.599897809286581,0.376917672606502,0.023184518106917,NA,NA,2.09,3.39999999999999,32.594582,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0.84748158845939,0.802037415570997,0.895500669711678,0.84748158845939,3
"Angola",24,2005,0.599690339008653,0.37720916682851,0.0231004941628364,NA,NA,2.25,4,31.799746,1.40836396725,1.03522714875,1.1266911738,0,0,0,0,0,0,0,1,0,0,0.938151038748632,0.891007994954871,0.987788410977968,1.1266911738,3
"Angola",24,2010,0.602303123724895,0.375078206465068,0.0226186698100376,NA,NA,2.47,4.90000000000001,33.969887,1.49611685028,1.15143550587,1.196893480224,0,0,0,0,0,0,0,0,1,0,1.03464549718193,0.989683062508876,1.08165062674218,1.196893480224,3
"Angola",24,2015,0.575075468515002,0.401862214772087,0.0230623167129109,NA,NA,2.91,6.30000000000001,29.08198,2.07985052988,1.67016916554,1.663880423904,0,0,0,0,0,0,0,0,0,1,1.33698906525633,1.28492851702391,1.39115891423689,1.663880423904,3
"Antigua and Barbuda",28,1970,0.530551415797317,0.429210134128167,0.0402384500745156,NA,NA,NA,NA,17.808514,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2
"Antigua and Barbuda",28,1975,0.504895104895105,0.451748251748252,0.0433566433566434,NA,NA,NA,NA,21.10346,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2
"Antigua and Barbuda",28,1980,0.461852861035422,0.486376021798365,0.0517711171662125,NA,NA,NA,NA,13.758053,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,2
"Antigua and Barbuda",28,1985,0.42836676217765,0.511461318051576,0.0601719197707736,NA,NA,NA,NA,16.747963,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,2
"Antigua and Barbuda",28,1990,0.403298350824588,0.521739130434783,0.0749625187406297,NA,NA,NA,NA,10.757634,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,2
"Antigua and Barbuda",28,1995,0.383152173913043,0.539402173913043,0.077445652173913,NA,NA,NA,NA,13.912856,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,2
"Antigua and Barbuda",28,2000,0.375598086124402,0.558612440191388,0.0657894736842105,NA,NA,NA,NA,1.0500031,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,2
"Antigua and Barbuda",28,2005,0.369955156950673,0.562780269058296,0.0672645739910314,NA,NA,NA,NA,9.9192209,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,2
"Antigua and Barbuda",28,2010,0.353748680042239,0.579725448785639,0.0665258711721225,NA,NA,NA,NA,1.0500031,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,2
"Antigua and Barbuda",28,2015,0.332,0.602,0.066,NA,NA,10.8,52.3,1.0500031,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,9.91675182857861,9.73265729385232,10.1043285364353,9.91675182857861,2
